Employee_ID,Age,Gender,Department,Experience,Salary,Performance_Score
1,25,Male,IT,2,35000,75
2,28,Female,HR,4,42000,80
3,30,Male,Finance,6,55000,85
4,27,Female,IT,3,40000,78
5,35,Male,Finance,10,70000,92
6,29,Female,HR,5,48000,82
7,31,Male,IT,7,60000,88
8,26,Female,Marketing,2,37000,74
9,40,Male,Finance,15,90000,95
10,24,Female,Marketing,1,32000,70
11,33,Male,IT,8,65000,89
12,29,Female,HR,5,49000,83
13,37,Male,Finance,12,80000,93
14,28,Female,Marketing,3,41000,76
15,32,Male,IT,6,58000,86
16,26,Female,HR,2,39000,72
17,45,Male,Finance,20,100000,97
18,27,Female,Marketing,4,43000,79
19,34,Male,IT,9,68000,90
20,30,Female,HR,6,52000,84
21,,Male,IT,5,55000,85
22,29,Female,HR,5,,82
23,30,Male,Finance,6,55000,85
24,27,Female,IT,3,40000,78
25,35,Male,Finance,10,70000,
25,35,Male,Finance,10,70000,
